timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1719216103703,813,HTTP Request,200,OK,Thread Group 1-1,text,true,,3946,242,9,9,https://www.saucedemo.com/,148,0,91
1719216103725,783,HTTP Request,200,OK,Thread Group 1-2,text,true,,3946,242,9,9,https://www.saucedemo.com/,127,0,71
1719216103703,152,HTTP Request-0,301,Moved Permanently,Thread Group 1-1,text,true,,654,121,9,9,http://www.saucedemo.com/,148,0,91
1719216103725,130,HTTP Request-0,301,Moved Permanently,Thread Group 1-2,text,true,,654,121,9,9,http://www.saucedemo.com/,127,0,71
1719216103857,659,HTTP Request-1,200,OK,Thread Group 1-1,text,true,,3292,121,9,9,https://www.saucedemo.com/,654,0,588
1719216104024,494,HTTP Request,200,OK,Thread Group 1-5,text,true,,3946,242,9,9,https://www.saucedemo.com/,140,0,80
1719216104024,140,HTTP Request-0,301,Moved Permanently,Thread Group 1-5,text,true,,654,121,9,9,http://www.saucedemo.com/,140,0,80
1719216104165,353,HTTP Request-1,200,OK,Thread Group 1-5,text,true,,3292,121,9,9,https://www.saucedemo.com/,350,0,283
1719216103930,586,HTTP Request,200,OK,Thread Group 1-4,text,true,,3946,242,9,9,https://www.saucedemo.com/,114,0,51
1719216103930,114,HTTP Request-0,301,Moved Permanently,Thread Group 1-4,text,true,,654,121,9,9,http://www.saucedemo.com/,114,0,51
1719216104045,471,HTTP Request-1,200,OK,Thread Group 1-4,text,true,,3292,121,9,9,https://www.saucedemo.com/,469,0,399
1719216103857,651,HTTP Request-1,200,OK,Thread Group 1-2,text,true,,3292,121,9,9,https://www.saucedemo.com/,650,0,587
1719216103829,685,HTTP Request,200,OK,Thread Group 1-3,text,true,,3946,242,9,9,https://www.saucedemo.com/,155,0,115
1719216103829,155,HTTP Request-0,301,Moved Permanently,Thread Group 1-3,text,true,,654,121,9,9,http://www.saucedemo.com/,155,0,115
1719216103984,530,HTTP Request-1,200,OK,Thread Group 1-3,text,true,,3292,121,9,9,https://www.saucedemo.com/,518,0,460
1719216104124,474,HTTP Request,200,OK,Thread Group 1-6,text,true,,3946,242,5,5,https://www.saucedemo.com/,255,0,45
1719216104124,255,HTTP Request-0,301,Moved Permanently,Thread Group 1-6,text,true,,654,121,5,5,http://www.saucedemo.com/,255,0,45
1719216104382,216,HTTP Request-1,200,OK,Thread Group 1-6,text,true,,3292,121,5,5,https://www.saucedemo.com/,216,0,156
1719216104226,417,HTTP Request,200,OK,Thread Group 1-7,text,true,,3946,242,4,4,https://www.saucedemo.com/,197,0,146
1719216104226,197,HTTP Request-0,301,Moved Permanently,Thread Group 1-7,text,true,,654,121,4,4,http://www.saucedemo.com/,197,0,146
1719216104424,219,HTTP Request-1,200,OK,Thread Group 1-7,text,true,,3292,121,4,4,https://www.saucedemo.com/,219,0,182
1719216104325,423,HTTP Request,200,OK,Thread Group 1-8,text,true,,3946,242,3,3,https://www.saucedemo.com/,175,0,100
1719216104325,175,HTTP Request-0,301,Moved Permanently,Thread Group 1-8,text,true,,654,121,3,3,http://www.saucedemo.com/,175,0,100
1719216104505,243,HTTP Request-1,200,OK,Thread Group 1-8,text,true,,3292,121,3,3,https://www.saucedemo.com/,243,0,149
1719216104431,375,HTTP Request,200,OK,Thread Group 1-9,text,true,,3946,242,2,2,https://www.saucedemo.com/,168,0,62
1719216104431,168,HTTP Request-0,301,Moved Permanently,Thread Group 1-9,text,true,,654,121,2,2,http://www.saucedemo.com/,168,0,62
1719216104600,206,HTTP Request-1,200,OK,Thread Group 1-9,text,true,,3292,121,2,2,https://www.saucedemo.com/,206,0,148
1719216104529,378,HTTP Request,200,OK,Thread Group 1-10,text,true,,3946,242,1,1,https://www.saucedemo.com/,126,0,78
1719216104529,126,HTTP Request-0,301,Moved Permanently,Thread Group 1-10,text,true,,654,121,1,1,http://www.saucedemo.com/,126,0,78
1719216104656,251,HTTP Request-1,200,OK,Thread Group 1-10,text,true,,3292,121,1,1,https://www.saucedemo.com/,251,0,150
